State or Region,Institution Sector,Sector Sort,Fall 2017 Active,Fall 2017 IPEDS Universe,Fall 2018 Active,Fall 2018 IPEDS Universe,Fall 2019 Active,Fall 2019 IPEDS Universe,Fall 2020 Active,Fall 2020 IPEDS Universe,Fall 2021 Active,Fall 2021 IPEDS Universe,Fall 2022 Active*,Fall 2022 IPEDS Universe*
United States,Overall,1,19182382,19957739,19200712,19858177,19198859,19837533,18679910,19189895,18345746,18840890,18355681,18840890
Alabama,Overall,1,298203,305300,300026,302377,298202,300642,287458,289824,288323,290800,288323,290800
Alaska,Overall,1,26359,26905,25151,25692,22857,23353,21561,22106,20490,20929,20490,20929
Arizona,Overall,1,574939,600518,567100,583164,580056,596376,561134,579573,563340,583593,563340,583593
Arkansas,Overall,1,170504,173062,164882,167429,162675,165170,152905,155278,151365,152799,151365,152799
California,Overall,1,2609221,2696370,2619043,2698583,2618875,2704476,2492215,2578970,2395446,2482896,2396351,2482896
Colorado,Overall,1,331975,362336,334084,363320,341004,371341,331826,366067,325586,360486,325586,360486
Connecticut,Overall,1,195816,198537,196646,198484,192865,194666,185706,187658,183460,185529,183460,185529
Delaware,Overall,1,58195,60018,58856,60349,58252,59579,57100,58284,54835,55951,54835,55951
District of Columbia,Overall,1,130007,130654,134927,135551,140924,141533,135266,136272,122546,123691,122546,123691
Florida,Overall,1,962210,1056598,961625,1054157,961552,1053249,955302,1014420,934983,997292,934983,997292
Georgia,Overall,1,494994,525382,512550,530519,522743,539676,520867,534657,520034,534226,520034,534226
Hawaii,Overall,1,61352,63384,60475,61504,59410,60237,59225,59576,59466,60014,59466,60014
Idaho,Overall,1,131693,132008,123508,123703,122213,122372,123342,123481,126475,126820,126475,126820
Illinois,Overall,1,763289,785994,748952,765469,737966,753962,703035,715987,699580,707045,699580,707045
Indiana,Overall,1,418063,436328,407510,422419,407111,422592,395946,410641,415377,429455,415377,429455
Iowa,Overall,1,224916,226025,221045,222084,216975,218033,207019,208220,202211,203274,202211,203274
Kansas,Overall,1,202357,204811,204084,205380,201666,202909,186503,188083,188171,189607,188171,189607
Kentucky,Overall,1,256150,261716,261762,266348,265918,270558,262812,267363,260040,264589,262508,264589
Louisiana,Overall,1,234305,241552,237259,240844,239644,243054,239046,242700,235197,238892,235197,238892
Maine,Overall,1,69444,70715,69582,70781,70257,71658,68963,69838,67874,68804,67874,68804
Maryland,Overall,1,356792,365191,354974,362279,348606,356227,342154,349793,330101,337924,330101,337924
Massachusetts,Overall,1,489760,503269,488660,499525,484260,492242,466352,473529,472497,477874,472497,477874
Michigan,Overall,1,551503,557253,534952,539548,519273,523981,483970,488419,475669,479889,475669,479889
Minnesota,Overall,1,420340,423783,418592,420660,413377,415139,406861,408564,390805,392477,390805,392477
Mississippi,Overall,1,169781,171392,168020,168852,165802,166344,161876,162490,157426,158129,157426,158129
Missouri,Overall,1,366377,381793,360391,373417,348705,362304,330928,342056,325180,336082,325180,336082
Montana,Overall,1,48438,50642,47844,49363,46793,48066,44937,45461,46514,47053,46514,47053
Nebraska,Overall,1,134245,134849,133989,134116,135274,135398,134911,135026,133428,133501,133428,133501
Nevada,Overall,1,109444,114458,110382,114931,112201,116745,108188,113381,106807,112061,106807,112061
New Hampshire,Overall,1,147750,148385,159276,159898,168202,168480,187407,187650,197160,197425,197160,197425
New Jersey,Overall,1,400418,416932,394861,412345,392587,411143,374145,390124,363215,378927,363215,378927
New Mexico,Overall,1,120550,128456,115959,122825,115599,121360,104409,109655,101124,106608,101760,106608
New York,Overall,1,1228351,1268127,1218009,1258475,1204104,1244402,1150952,1190830,1117694,1155856,1121285,1155856
North Carolina,Overall,1,546916,555609,548758,555274,554171,559676,544134,549649,546045,549835,546045,549835
North Dakota,Overall,1,52994,53222,52473,52671,51701,51701,50680,50680,50371,50371,50371,50371
Ohio,Overall,1,630063,648071,628161,644296,641045,655922,637830,653888,629827,646125,629827,646125
Oklahoma,Overall,1,194779,201858,190317,195834,186792,192656,183400,189214,178138,183768,178138,183768
Oregon,Overall,1,219661,230302,218956,228477,216631,226102,200257,203702,192935,196459,194076,196459
Pennsylvania,Overall,1,684606,714303,679648,697403,672731,690480,647014,665100,628647,646695,628647,646695
Rhode Island,Overall,1,87303,87303,84918,84918,83673,83836,79556,79556,75898,75898,75898,75898
South Carolina,Overall,1,236955,244037,232666,237835,233950,238493,228136,232203,229575,233150,229575,233150
South Dakota,Overall,1,56903,57910,54647,55703,51635,52054,50393,50901,50559,51298,50559,51298
Tennessee,Overall,1,303806,320466,308564,319128,308346,319084,302159,312302,294994,305017,294994,305017
Texas,Overall,1,1496472,1620573,1511335,1634349,1531858,1648340,1555001,1589558,1529429,1556462,1530623,1556462
Utah,Overall,1,328744,332261,356709,359814,378392,381379,392208,395615,386226,390017,386226,390017
Vermont,Overall,1,41653,44609,41978,43584,41526,41874,40193,40332,41002,41128,41002,41128
Virginia,Overall,1,527537,545624,528831,543925,534977,548906,535072,548633,526470,540892,526470,540892
Washington,Overall,1,359719,366783,360805,366041,356499,361945,327799,332964,315071,320258,315071,320258
West Virginia,Overall,1,136759,142794,134055,139882,133024,138890,131195,137417,125906,131994,125906,131994
Wisconsin,Overall,1,329444,342585,336865,338455,333552,335148,320282,321329,317200,318267,317200,318267
Wyoming,Overall,1,32551,33015,32472,32510,32120,32373,30358,30943,29705,30447,29705,30447
