State or Region,Institution Sector,Sector Sort,Fall 2017 Active,Fall 2017 IPEDS Universe,Fall 2018 Active,Fall 2018 IPEDS Universe,Fall 2019 Active,Fall 2019 IPEDS Universe,Fall 2020 Active,Fall 2020 IPEDS Universe,Fall 2021 Active,Fall 2021 IPEDS Universe,Fall 2022 Active*,Fall 2022 IPEDS Universe*
United States,"All Private, not-for-profit Institutions",6,3990473,4224498,4021526,4242872,4040178,4252627,4014807,4198346,4021039,4197855,4028936,4197855
Alabama,"All Private, not-for-profit Institutions",6,23763,25598,24278,25690,23850,24961,22827,23894,22131,23274,22131,23274
Alaska,"All Private, not-for-profit Institutions",6,509,625,502,628,529,664,493,626,554,676,554,676
Arizona,"All Private, not-for-profit Institutions",6,1497,2762,1603,2860,1863,3095,1895,2921,2100,3085,2100,3085
Arkansas,"All Private, not-for-profit Institutions",6,15442,17009,15255,16932,15310,16089,15070,15813,15438,16189,15438,16189
California,"All Private, not-for-profit Institutions",6,287017,310197,290802,312611,304997,327083,302593,321965,305754,323509,306451,323509
Colorado,"All Private, not-for-profit Institutions",6,31451,32911,31729,32872,31528,32500,31981,32617,32497,33113,32497,33113
Connecticut,"All Private, not-for-profit Institutions",6,71186,72319,72272,72956,71558,72290,68872,69640,71232,72039,71232,72039
Delaware,"All Private, not-for-profit Institutions",6,15874,17697,16255,17748,16016,17343,15793,16977,13237,14353,13237,14353
District of Columbia,"All Private, not-for-profit Institutions",6,80508,80678,80774,80939,80693,80839,80561,80718,83243,83383,83243,83383
Florida,"All Private, not-for-profit Institutions",6,158663,202813,155920,201147,157304,201409,158314,192510,161637,198954,161637,198954
Georgia,"All Private, not-for-profit Institutions",6,74602,77890,76422,79905,77648,81348,77422,78902,79609,80968,79609,80968
Hawaii,"All Private, not-for-profit Institutions",6,9678,10159,9412,9695,9433,9578,9631,9778,9693,9828,9693,9828
Idaho,"All Private, not-for-profit Institutions",6,55003,55244,45506,45701,42347,42506,47704,47805,47493,47582,47493,47582
Illinois,"All Private, not-for-profit Institutions",6,210056,218248,209308,216608,209649,216666,206855,211553,206103,209561,206103,209561
Indiana,"All Private, not-for-profit Institutions",6,77882,89902,76639,88799,74461,87240,72886,85113,71376,82879,71376,82879
Iowa,"All Private, not-for-profit Institutions",6,52002,52870,50638,51467,49992,50862,48635,49654,48298,49210,48298,49210
Kansas,"All Private, not-for-profit Institutions",6,23397,23913,24484,24970,24446,24772,22686,23002,23259,23560,23259,23560
Kentucky,"All Private, not-for-profit Institutions",6,44767,47958,52165,55504,55757,59125,57810,61324,54750,58369,57218,58369
Louisiana,"All Private, not-for-profit Institutions",6,24953,25979,25900,26836,26034,27003,27241,28269,27651,28643,27651,28643
Maine,"All Private, not-for-profit Institutions",6,23146,23468,22917,23234,22609,22961,22395,22777,21922,22333,21922,22333
Maryland,"All Private, not-for-profit Institutions",6,53152,54647,53509,55012,53817,55400,54655,56118,57767,59350,57767,59350
Massachusetts,"All Private, not-for-profit Institutions",6,276749,287770,281378,289688,282092,288740,275588,281373,288275,292258,288275,292258
Michigan,"All Private, not-for-profit Institutions",6,72768,76412,68146,71434,64325,67304,60387,62502,56528,58660,56528,58660
Minnesota,"All Private, not-for-profit Institutions",6,69231,70455,69605,70913,68627,69788,67139,68423,65214,66485,65214,66485
Mississippi,"All Private, not-for-profit Institutions",6,17462,17576,17437,17576,17442,17642,18200,18420,17402,17743,17402,17743
Missouri,"All Private, not-for-profit Institutions",6,131787,139898,129737,138418,124039,133034,119446,125952,115618,122139,115618,122139
Montana,"All Private, not-for-profit Institutions",6,3419,4603,3370,4395,3229,3595,3127,3601,3067,3421,3067,3421
